Classification,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining,0.2,0.8,1.0,1.3,1.7,2.6,3.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0
Manufacturing,76.4,108.6,106.2,106.0,121.7,114.4,125.2,124.4,134.6,121.0,113.3,105.9,110.6,109.8,115.5
Electricity generation,90.6,99.2,113.1,111.4,132.8,151.1,145.7,164.7,173.2,189.6,214.8,241.2,280.7,327.6,359.7
Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Transport,5.7,7.4,8.7,8.5,9.2,8.5,6.4,5.9,5.7,6.2,6.3,5.5,5.2,5.0,5.1
Gas supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water and waste,0.3,0.3,0.8,1.2,1.5,1.8,1.7,0.5,0.6,0.5,0.4,0.3,0.8,0.9,0.8
Commercial and services,0.6,0.6,0.7,0.7,1.0,1.2,1.3,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.8
Residential,66.2,65.7,64.1,64.8,65.6,64.6,64.3,63.7,64.1,64.4,64.7,65.1,66.7,68.0,71.5
Total,239.9,282.6,294.6,293.8,333.5,344.2,347.7,360.2,379.1,382.5,400.2,418.8,464.6,512.1,553.6
