Energy,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Biomass,196.1,203.4,189.6,179.6,169.3,173.6,170.6,177.2
wood and other b,93.9,93.1,89.4,88.2,85.5,85.7,86.2,84.9
bagasse,102.2,110.3,100.2,91.3,83.8,88.0,84.4,92.3
Municipal and industrial waste,2.5,4.8,4.8,4.6,4.0,4.6,4.7,4.6
Biogas,15.8,15.3,16.1,16.3,16.7,17.6,18.5,18.0
landfill gas,14.7,11.8,12.2,12.3,12.6,13.2,13.9,13.5
other biogas,1.1,3.6,3.9,4.0,4.0,4.4,4.6,4.6
Biofuels,7.2,6.8,7.2,7.4,6.6,6.3,6.1,6.2
ethanol,5.3,5.5,6.0,6.1,5.4,4.9,4.8,5.0
biodiesel,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.0
other liquid biofuels,1.7,1.1,1.1,1.3,1.1,1.2,1.2,1.2
Wind power,43.9,45.3,54.6,63.8,73.4,88.3,104.8,113.0
Hydro power,55.1,58.6,57.7,57.5,54.5,54.7,61.2,60.0
Solar PV,24.6,29.1,35.7,53.5,75.7,99.8,124.9,151.1
Solar hot water,14.9,15.8,16.7,17.6,18.5,19.7,21.3,23.5
Total,360.2,379.1,382.5,400.2,418.8,464.6,512.1,553.6
